Model,MAE,RMSE,R2
Linear Regression,5.560940203387328,24.332108075994547,0.4732039198390403
Random Forest,4.517907853341551,22.555296096878486,0.547331653805337
Gradient Boosting,4.74433782476371,22.63612859431177,0.5440813415057344
